iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
3,6e,16.904,2.429,19.333,1.3794
3,6f,3661.182,2.05,3663.232,1.251
3,7a,140.013,10.967,150.98,5.0299
3,7b,177.42,10.044,187.464,1.1998
3,7c,445.391,11.051,456.442,2.0046
3,8a,954.293,6.695,960.988,1.5247
3,8b,55.106,7.18,62.286,1.8428
3,8c,2022.247,4.752,2026.999,1.2478
3,8d,689.06,5.343,694.403,2.1509
3,9a,158.909,13.243,172.152,1.4796
3,9b,156.806,12.167,168.973,1.284
3,9c,222.091,11.524,233.615,1.3328
3,9d,2393.65,11.259,2404.909,2.5085
4,10a,243.631,5.408,249.039,1.1767
4,10b,141.433,5.276,146.709,1.1267
4,10c,7088.169,4.932,7093.101,1.2058
4,11a,33.806,10.061,43.867,1.6866
4,11b,37.231,10.1,47.331,1.24
4,11c,400.543,9.03,409.573,13.6669
4,11d,37.678,9.284,46.962,1.2972
4,12a,107.892,10.437,118.329,1.5781
4,12b,40.53,9.892,50.422,1.3039
4,12c,418.683,10.384,429.067,1.1783
4,13a,327.817,14.575,342.392,1.6898
4,13b,144.866,15.62,160.486,1.2538
4,13c,110.619,15.402,126.021,1.6198
4,13d,2227.9,13.787,2241.687,2.6602
4,14a,928.924,9.912,938.836,4.061
4,14b,113.417,10.278,123.695,1.2765
4,14c,477.131,9.695,486.826,3.4866
4,15a,159.923,22.468,182.391,1.1833
4,15b,19.867,22.721,42.588,1.2048
4,15c,597.216,21.391,618.607,1.3857
4,15d,843.11,20.058,863.168,1.3453
4,16a,156.001,9.863,165.864,1.3528
4,16b,19328.552,8.734,19337.286,6.3173
4,16c,1168.497,8.835,1177.332,2.4497
4,16d,921.146,9.563,930.709,2.5661
4,17a,8221.441,5.259,8226.7,3.2967
4,17b,4573.879,5.241,4579.12,1.3382
4,17c,4492.219,5.267,4497.486,1.3628
4,17d,4522.707,5.433,4528.14,1.3628
4,17e,10148.351,5.158,10153.509,3.2783
4,17f,2395.306,5.261,2400.567,1.4832
4,18a,2208.917,6.01,2214.927,1.1353
4,18b,105.782,6.979,112.761,1.1232
4,18c,3060.42,6.477,3066.897,1.5902
4,19a,932.495,46.503,978.998,3.1862
4,19b,56.396,41.754,98.15,3.201
4,19c,756.671,43.061,799.732,3.1252
4,19d,4159.438,40.227,4199.665,2.8694
4,1a,43.966,2.591,46.557,1.1153
4,1b,38.788,2.311,41.099,1.1413
4,1c,40.215,2.291,42.506,1.08
4,1d,38.415,2.12,40.535,1.1386
4,20a,2054.151,24.92,2079.071,2.2682
4,20b,1379.67,25.552,1405.222,3.4152
4,20c,739.761,24.775,764.536,4.1302
4,21a,35.67,22.84,58.51,2.5246
4,21b,33.769,21.842,55.611,1.2187
4,21c,47.673,22.385,70.058,2.635
4,22a,320.751,59.5,380.251,9.3662
4,22b,754.709,60.829,815.538,2.0482
4,22c,1952.901,62.576,2015.477,26.9123
4,22d,2846.25,59.247,2905.497,10.625
4,23a,148.883,53.711,202.594,2.028
4,23b,64.178,52.198,116.376,1.5262
4,23c,264.951,53.088,318.039,2.2403
4,24a,127.481,518.227,645.708,1.7898
4,24b,17.82,571.432,589.252,2.3755
4,25a,598.663,19.725,618.388,2.3176
4,25b,143.178,20.529,163.707,2.5941
4,25c,2273.225,20.435,2293.66,2.2027
4,26a,753.007,455.78,1208.787,7.5254
4,26b,153.958,450.374,604.332,2.3423
4,26c,1635.155,436.491,2071.646,2.6411
4,27a,14.642,492.75,507.392,2.0605
4,27b,32.519,487.379,519.898,4.7661
4,27c,50.569,510.825,561.394,4.1773
4,28a,293.416,705.862,999.278,3.9141
4,28b,130.044,683.898,813.942,2.9597
4,28c,360.454,699.7,1060.154,3.9118
4,29a,41.89,1012.767,1054.657,5.575
4,29b,22.42,1012.584,1035.004,2.2711
4,29c,649.297,935.343,1584.64,20.0305
4,2a,187.913,2.034,189.947,1.5717
4,2b,180.973,2.305,183.278,1.6058
4,2c,14.322,2.251,16.573,1.3077
4,2d,274.049,1.904,275.953,1.6776
4,30a,185.421,510.384,695.805,2.513
4,30b,177.504,564.684,742.188,1.7125
4,30c,1712.016,492.816,2204.832,9.628
4,31a,203.647,72.256,275.903,4.8322
4,31b,21.605,72.435,94.04,1.7956
4,31c,223.971,70.219,294.19,5.2019
4,32a,8.658,2.641,11.299,4.6523
4,32b,101.221,2.301,103.522,36.8444
4,33a,320.585,549.895,870.48,9.9162
4,33b,85.809,536.993,622.802,4.3426
4,33c,35.539,557.763,593.302,1.8186
4,3a,130.599,1.827,132.426,1.0383
4,3b,85.385,1.845,87.23,1.0383
4,3c,201.444,1.869,203.313,1.0383
